Modelo,RMSE,MAE,MAPE (%)
"SARIMA(0,1,1)(0,1,1)_12",583912.7653558822,430181.4254345287,2.8238698400295577
"XGBoost (lags 1-3, óptimo)",694718.1811123126,585714.5,4.0022145956754684
